fid,username,time_utc,packs,eth,tx_hash
891234,jackstar20,2026-02-06T17:30:05.552Z,1,0.000600000000000000,0x899d13959f7181974e98d3a841e35eedc0862f60667406ce1524b275363a360a
432964,pablo9678a,2026-02-06T17:33:32.018Z,2,0.002400000000000000,0xf9b416aa2a5adba8e39fea12dfc992bb0cf56090f988d684a7ceee66c68476ac
432964,pablo9678a,2026-02-06T17:37:17.586Z,1,0.001200000000000000,0xc13093fa55418f01c90a4df00560bdffa72e66d7a4440a87b4e8ec12ae460269
827722,tamey,2026-02-06T17:41:52.300Z,3,0.001800000000000000,0xdf220f36af109b07dc241b417486db7bc4b624877a4fb16d5c2f68a5d7031bd2
396,farcasterintern.eth,2026-02-06T17:41:59.696Z,2,0.001200000000000000,0x48924af0928e314b9274e3238b9e7b794a9ae1ae44b1e9a00652af6829671965
203482,rilas00,2026-02-06T17:43:25.871Z,3,0.001800000000000000,0x7379ca97523ee574ba5dbd6fe3b1db5811f86327c93a606ebfd21a74aac68faf
396,farcasterintern.eth,2026-02-06T17:43:35.401Z,2,0.001500000000000000,0xde0329da659a94d7ae7cb2881f367b9396d3ecd4a37a91bf49cb36b06c5c244f
817345,hugglemonster,2026-02-06T17:43:40.429Z,1,0.000900000000000000,0x0616e113c3fbe35658e1132630fdb96be2ebb9f875a4249f1468ef2c62240b87
817345,hugglemonster,2026-02-06T17:46:10.782Z,1,0.000900000000000000,0xa1c15d6d5ea4d5abd61b087bb35ea1aa60421a9117f4b24266db9baf253fdc07
493142,filtrodeaceite,2026-02-06T17:49:28.778Z,1,0.000600000000000000,0x10b3ece4218b4c9160ae6812960ab139016d30ac4e3f37c35ea013e0b938616f
817345,hugglemonster,2026-02-06T17:53:12.041Z,1,0.000900000000000000,0xc9fe11fff0477b018b4ee7b9c123aa3e9410e145c121cdf24e5c1cb3279272fa
396,farcasterintern.eth,2026-02-06T17:53:34.187Z,1,0.000900000000000000,0x5193a9696a0b5e5cf5e5cfc876e9699f1ae6b58081801153569c44eb14183d57
831460,tocoman,2026-02-06T17:54:04.782Z,2,0.001200000000000000,0xb52be0dfc24dbc95086a8282cceeb21f0f72385b3d3a39bbd947d0e5213effd4
817345,hugglemonster,2026-02-06T17:54:30.028Z,1,0.001200000000000000,0xcad628fa82d1025b4584b7240fec3af44f3c5cedc5c5e6f3b34e5490e1f201ec
269515,peyson.eth,2026-02-06T17:54:31.806Z,1,0.000600000000000000,0x0e0a5307e84d4ae0d5cad9a9ef1660f6498309411c398ce72c396db4c9e25de4
891234,jackstar20,2026-02-06T17:55:08.952Z,1,0.000900000000000000,0x2f085449cbe384b69398af50b965454365de6a530d53b9b008faeeac4d728acf
831460,tocoman,2026-02-06T17:56:17.370Z,3,0.002400000000000000,0x788720e5967f0e7e8efbfef1d7d85a625fd4ca597f982f2e29ed807993f4d67a
396,farcasterintern.eth,2026-02-06T17:56:40.489Z,1,0.000900000000000000,0x532b37e2a2ef154bfb1c1939442a8863c6195bd0c22feaf7e913d5b03f2d8e92
396,farcasterintern.eth,2026-02-06T17:57:07.760Z,1,0.001200000000000000,0x84c9d688615adefc376ad16764e0795e01ace11b8cddbcfa431e62f6898941f1
3652,aqueous,2026-02-06T17:57:55.833Z,1,0.000600000000000000,0x5bca554c2cdc8e0b887cf5d0753a309385a3201fc57f2ed21751165859cbe1f7
396,farcasterintern.eth,2026-02-06T17:58:58.354Z,1,0.001200000000000000,0xcef998bd15f3391924510ddda978f6d99b9362a46ec5b0b53d0e642f80437088
978244,daxexp29,2026-02-06T17:59:02.570Z,2,0.001200000000000000,0x628fcb59b8f23a20ebc516308ef8e454e00c2e9680f96daa5a32699859fcd121
13182,sekoweed.eth,2026-02-06T18:01:42.840Z,2,0.001200000000000000,0xcec9a6adeef953968b3e500ff74711ccd3e5a047b0fd32244cf04dfbfe5dfdd2
738714,faroff,2026-02-06T18:02:32.227Z,3,0.001800000000000000,0xa84674b7064abf9e537ee9d3e994165aa81901290ea2c0fc2045db044812c32e
827722,tamey,2026-02-06T18:02:39.052Z,2,0.001800000000000000,0x18967ad352a0fed58e061a981e4284320a7dde556d25c40bb6964c8a8cc7200a
243134,rend,2026-02-06T18:02:46.742Z,1,0.000600000000000000,0xc602ce523594a63f088ac3708a171b35fadbdad94cbdfe1b10ad981e5eeb0d33
831460,tocoman,2026-02-06T18:06:18.286Z,1,0.000900000000000000,0xb419190faa6678241db739eb589a0c8b25883cda6c46bca6e71cdccce06e99db
13182,sekoweed.eth,2026-02-06T18:08:22.095Z,2,0.001500000000000000,0xb6a5a63c767eb8601c14a045fc99b093363e6622b2b6b5105407e6220d16cf65
269515,peyson.eth,2026-02-06T18:13:32.110Z,1,0.000600000000000000,0xdc8953cf4c02ca8a27f620d57a1e8edfcf1cc2aece9a579f47802072b9dd4334
203482,rilas00,2026-02-06T18:18:06.129Z,1,0.000900000000000000,0x834b7ef9689669cf984b1f02ff501007fd2b590343dfb43096d8019e0ae9d839
817332,jorja,2026-02-06T18:18:48.328Z,1,0.000900000000000000,0xba9a2e85d60c20b2afb9b11a5e1564f9895bed84ed332de370a08d5bf857d7a0
203482,rilas00,2026-02-06T18:19:09.616Z,1,0.000900000000000000,0xd5857d18d80dc4adedfd322d08b6ad219833da23a691e7df30cf9f4451bff5c1
